business_id,score,date,description,type
34073,94,20100503,,routine
37108,98,20100503,,routine
74656,94,20100503,,routine
33694,96,20100504,,routine
32866,98,20100504,,routine
32866,98,20100504,,routine
66108,95,20100504,,routine
33099,96,20100505,,routine
73987,95,20100505,,routine
81107,94,20100505,,routine
77990,0,20100505,,followup
57936,95,20100505,,routine
83592,96,20100505,,routine
65217,100,20100506,,routine
35086,96,20100506,,routine
85391,0,20100506,,followup
84064,97,20100506,,routine
69770,94,20100506,,routine
63315,94,20100506,,routine
65217,100,20100506,,routine
34213,100,20100507,,routine
34307,94,20100507,,routine
32879,99,20100507,,routine
51759,98,20100507,,routine
52594,95,20100507,,routine
52594,95,20100507,,routine
58862,100,20100510,,routine
41070,93,20100510,,routine
34643,97,20100510,,routine
67846,97,20100510,,routine
34643,97,20100510,,routine
59263,96,20100511,,routine
34899,98,20100511,,routine
60876,93,20100511,,routine
58709,98,20100511,,routine
63832,96,20100511,,routine
34173,97,20100512,,routine
34897,97,20100512,,routine
77404,99,20100512,,routine
52141,94,20100512,,routine
82872,98,20100512,,routine
62468,99,20100512,,routine
32804,98,20100512,,routine
32802,98,20100512,,routine
63624,98,20100512,,routine
34173,97,20100512,,routine
77404,99,20100512,,routine
34897,97,20100512,,routine
77062,97,20100513,,routine
67845,90,20100513,,routine
74265,100,20100514,,routine
75203,99,20100514,,routine
33295,99,20100514,,routine
74264,98,20100514,,routine
33287,99,20100514,,routine
34272,100,20100514,,routine
64467,94,20100514,,routine
77887,96,20100514,,routine
74263,97,20100514,,routine
35079,100,20100514,,routine
77884,98,20100514,,routine
57727,97,20100514,,routine
33292,93,20100514,,routine
32608,100,20100514,,routine
33291,99,20100514,,routine
51020,100,20100516,,routine
59611,96,20100517,,routine
60994,97,20100517,,routine
60995,99,20100517,,routine
34944,94,20100517,,routine
56421,96,20100517,,routine
80204,97,20100517,,routine
61129,99,20100517,,routine
61012,99,20100517,,routine
78960,94,20100517,,routine
59611,96,20100517,,routine
67845,99,20100518,,followup
84506,96,20100518,,routine
64895,96,20100518,,routine
62588,97,20100518,,routine
34371,63,20100518,,routine
47808,99,20100518,,routine
84506,100,20100518,,routine
47808,99,20100518,,routine
33228,100,20100519,,routine
66741,96,20100519,,routine
60979,99,20100519,,routine
60975,100,20100519,,routine
60977,100,20100519,,routine
60976,98,20100519,,routine
60978,97,20100519,,routine
33055,83,20100519,,routine
77732,98,20100519,,routine
40824,96,20100519,,routine
60980,99,20100519,,routine
34225,93,20100520,,routine
52118,100,20100520,,routine
44200,98,20100520,,routine
48736,97,20100520,,routine
44224,94,20100520,,routine
33953,95,20100520,,routine
34872,96,20100520,,routine
51670,97,20100520,,routine
57012,98,20100520,,routine
75196,97,20100520,,routine
33438,99,20100521,,routine
34679,94,20100521,,routine
34716,93,20100521,,routine
34177,98,20100521,,routine
69478,98,20100522,,routine
63901,99,20100524,,routine
63868,98,20100524,,routine
64344,95,20100524,,routine
63900,96,20100524,,routine
63867,96,20100524,,routine
63866,97,20100524,,routine
64357,99,20100524,,routine
64358,93,20100524,,routine
63869,100,20100524,,routine
64360,94,20100524,,routine
85633,96,20100524,,routine
64329,96,20100524,,routine
63865,97,20100524,,routine
64100,100,20100524,,routine
61835,95,20100524,,routine
61835,100,20100524,,routine
74005,95,20100525,,routine
85497,97,20100525,,followup
68550,98,20100525,,routine
32609,99,20100525,,routine
33412,100,20100525,,routine
85487,93,20100525,,routine
63833,95,20100525,,routine
